TOTAL_CASH_CHANGE_1dt_day_1,TOTAL_CASH_CHANGE_1dt_day_2,TOTAL_CASH_CHANGE_1dt_day_3,TOTAL_CASH_CHANGE_1dt_day_4,TOTAL_CASH_CHANGE_1dt_day_5,TOTAL_CASH_CHANGE_1dt_day_6,TOTAL_CASH_CHANGE_1dt_day_7,TOTAL_CASH_CHANGE_1dt_day_8,TOTAL_CASH_CHANGE_1dt_day_9,TOTAL_CASH_CHANGE_1dt_day_10,TOTAL_CASH_CHANGE_1dt_day_11,TOTAL_CASH_CHANGE_1dt_day_12,TOTAL_CASH_CHANGE_1dt_day_13,TOTAL_CASH_CHANGE_1dt_day_14,TOTAL_CASH_OUT_1dt_day_1,TOTAL_CASH_OUT_1dt_day_2,TOTAL_CASH_OUT_1dt_day_3,TOTAL_CASH_OUT_1dt_day_4,TOTAL_CASH_OUT_1dt_day_5,TOTAL_CASH_OUT_1dt_day_6,TOTAL_CASH_OUT_1dt_day_7,TOTAL_CASH_OUT_1dt_day_8,TOTAL_CASH_OUT_1dt_day_9,TOTAL_CASH_OUT_1dt_day_10,TOTAL_CASH_OUT_1dt_day_11,TOTAL_CASH_OUT_1dt_day_12,TOTAL_CASH_OUT_1dt_day_13,TOTAL_CASH_OUT_1dt_day_14
1.000000000000000000e+00,1.000000000000000000e+00,5.072242617607116699e-01,1.333893090486526489e-01,5.602865219116210938e-01,8.297998458147048950e-02,6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00,5.183100104331970215e-01,4.202850162982940674e-01,4.728339910507202148e-01,4.657253995537757874e-02,4.535587728023529053e-01,8.210715651512145996e-02,6.148129105567932129e-01,2.253607511520385742e-01,5.935781002044677734e-01,1.045078635215759277e-01,6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00,6.085271239280700684e-01,1.482146233320236206e-01,6.230387091636657715e-01,6.903010606765747070e-02
5.072242617607116699e-01,1.333893090486526489e-01,5.602865219116210938e-01,8.297998458147048950e-02,6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00,5.183100104331970215e-01,4.202850162982940674e-01,4.728339910507202148e-01,4.657253995537757874e-02,4.535587728023529053e-01,8.210715651512145996e-02,6.148129105567932129e-01,2.253607511520385742e-01,5.935781002044677734e-01,1.045078635215759277e-01,6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00,6.085271239280700684e-01,1.482146233320236206e-01,6.230387091636657715e-01,6.903010606765747070e-02,6.498531699180603027e-01,3.215053081512451172e-01
5.602865219116210938e-01,8.297998458147048950e-02,6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00,5.183100104331970215e-01,4.202850162982940674e-01,4.728339910507202148e-01,4.657253995537757874e-02,4.535587728023529053e-01,8.210715651512145996e-02,6.148129105567932129e-01,2.253607511520385742e-01,5.935781002044677734e-01,1.045078635215759277e-01,6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00,6.085271239280700684e-01,1.482146233320236206e-01,6.230387091636657715e-01,6.903010606765747070e-02,6.498531699180603027e-01,3.215053081512451172e-01,6.428316235542297363e-01,9.964662045240402222e-02
6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00,5.183100104331970215e-01,4.202850162982940674e-01,4.728339910507202148e-01,4.657253995537757874e-02,4.535587728023529053e-01,8.210715651512145996e-02,6.148129105567932129e-01,2.253607511520385742e-01,5.935781002044677734e-01,1.045078635215759277e-01,6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00,6.085271239280700684e-01,1.482146233320236206e-01,6.230387091636657715e-01,6.903010606765747070e-02,6.498531699180603027e-01,3.215053081512451172e-01,6.428316235542297363e-01,9.964662045240402222e-02,7.296108603477478027e-01,3.673933446407318115e-01
6.107339262962341309e-01,0.000000000000000000e+00,5.183100104331970215e-01,4.202850162982940674e-01,4.728339910507202148e-01,4.657253995537757874e-02,4.535587728023529053e-01,8.210715651512145996e-02,6.148129105567932129e-01,2.253607511520385742e-01,5.935781002044677734e-01,1.045078635215759277e-01,6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00,6.085271239280700684e-01,1.482146233320236206e-01,6.230387091636657715e-01,6.903010606765747070e-02,6.498531699180603027e-01,3.215053081512451172e-01,6.428316235542297363e-01,9.964662045240402222e-02,7.296108603477478027e-01,3.673933446407318115e-01,6.107339262962341309e-01,0.000000000000000000e+00
5.183100104331970215e-01,4.202850162982940674e-01,4.728339910507202148e-01,4.657253995537757874e-02,4.535587728023529053e-01,8.210715651512145996e-02,6.148129105567932129e-01,2.253607511520385742e-01,5.935781002044677734e-01,1.045078635215759277e-01,6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00,6.085271239280700684e-01,1.482146233320236206e-01,6.230387091636657715e-01,6.903010606765747070e-02,6.498531699180603027e-01,3.215053081512451172e-01,6.428316235542297363e-01,9.964662045240402222e-02,7.296108603477478027e-01,3.673933446407318115e-01,6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00
4.728339910507202148e-01,4.657253995537757874e-02,4.535587728023529053e-01,8.210715651512145996e-02,6.148129105567932129e-01,2.253607511520385742e-01,5.935781002044677734e-01,1.045078635215759277e-01,6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00,6.085271239280700684e-01,1.482146233320236206e-01,6.230387091636657715e-01,6.903010606765747070e-02,6.498531699180603027e-01,3.215053081512451172e-01,6.428316235542297363e-01,9.964662045240402222e-02,7.296108603477478027e-01,3.673933446407318115e-01,6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00,3.477041721343994141e-01,2.074758112430572510e-01
4.535587728023529053e-01,8.210715651512145996e-02,6.148129105567932129e-01,2.253607511520385742e-01,5.935781002044677734e-01,1.045078635215759277e-01,6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00,6.085271239280700684e-01,1.482146233320236206e-01,6.230387091636657715e-01,6.903010606765747070e-02,6.498531699180603027e-01,3.215053081512451172e-01,6.428316235542297363e-01,9.964662045240402222e-02,7.296108603477478027e-01,3.673933446407318115e-01,6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00,3.477041721343994141e-01,2.074758112430572510e-01,5.872110724449157715e-01,1.612144410610198975e-01
6.148129105567932129e-01,2.253607511520385742e-01,5.935781002044677734e-01,1.045078635215759277e-01,6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00,6.085271239280700684e-01,1.482146233320236206e-01,6.230387091636657715e-01,6.903010606765747070e-02,6.498531699180603027e-01,3.215053081512451172e-01,6.428316235542297363e-01,9.964662045240402222e-02,7.296108603477478027e-01,3.673933446407318115e-01,6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00,3.477041721343994141e-01,2.074758112430572510e-01,5.872110724449157715e-01,1.612144410610198975e-01,6.404548287391662598e-01,2.274931967258453369e-01
5.935781002044677734e-01,1.045078635215759277e-01,6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00,6.085271239280700684e-01,1.482146233320236206e-01,6.230387091636657715e-01,6.903010606765747070e-02,6.498531699180603027e-01,3.215053081512451172e-01,6.428316235542297363e-01,9.964662045240402222e-02,7.296108603477478027e-01,3.673933446407318115e-01,6.107339262962341309e-01,0.000000000000000000e+00,6.107339262962341309e-01,0.000000000000000000e+00,3.477041721343994141e-01,2.074758112430572510e-01,5.872110724449157715e-01,1.612144410610198975e-01,6.404548287391662598e-01,2.274931967258453369e-01,5.248909592628479004e-01,7.331129908561706543e-02
