TOTAL_CASH_CHANGE_1dt_day_1,TOTAL_CASH_CHANGE_1dt_day_2,TOTAL_CASH_CHANGE_1dt_day_3,TOTAL_CASH_CHANGE_1dt_day_4,TOTAL_CASH_CHANGE_1dt_day_5,TOTAL_CASH_CHANGE_1dt_day_6,TOTAL_CASH_CHANGE_1dt_day_7,TOTAL_CASH_CHANGE_1dt_day_8,TOTAL_CASH_CHANGE_1dt_day_9,TOTAL_CASH_CHANGE_1dt_day_10,TOTAL_CASH_CHANGE_1dt_day_11,TOTAL_CASH_CHANGE_1dt_day_12,TOTAL_CASH_CHANGE_1dt_day_13,TOTAL_CASH_CHANGE_1dt_day_14,TOTAL_CASH_OUT_1dt_day_1,TOTAL_CASH_OUT_1dt_day_2,TOTAL_CASH_OUT_1dt_day_3,TOTAL_CASH_OUT_1dt_day_4,TOTAL_CASH_OUT_1dt_day_5,TOTAL_CASH_OUT_1dt_day_6,TOTAL_CASH_OUT_1dt_day_7,TOTAL_CASH_OUT_1dt_day_8,TOTAL_CASH_OUT_1dt_day_9,TOTAL_CASH_OUT_1dt_day_10,TOTAL_CASH_OUT_1dt_day_11,TOTAL_CASH_OUT_1dt_day_12,TOTAL_CASH_OUT_1dt_day_13,TOTAL_CASH_OUT_1dt_day_14
5.134888887405395508e-01,5.250324606895446777e-01,4.600888788700103760e-01,3.703339397907257080e-01,4.210544824600219727e-01,2.560278177261352539e-01,6.658526659011840820e-01,6.465719938278198242e-01,8.082972764968872070e-01,7.062008380889892578e-01,1.746077835559844971e-01,1.516787856817245483e-01,3.255770206451416016e-01,2.266791015863418579e-01,5.036394000053405762e-01,3.218706548213958740e-01,3.166930973529815674e-01,3.125960528850555420e-01,3.633086085319519043e-01,2.664435505867004395e-01,5.589413642883300781e-01,4.768029153347015381e-01,6.123515963554382324e-01,4.415013194084167480e-01,4.057814478874206543e-01,1.899520754814147949e-01,4.008882939815521240e-01,1.892296224832534790e-01
4.600888788700103760e-01,3.703339397907257080e-01,4.210544824600219727e-01,2.560278177261352539e-01,6.658526659011840820e-01,6.465719938278198242e-01,8.082972764968872070e-01,7.062008380889892578e-01,1.746077835559844971e-01,1.516787856817245483e-01,3.255770206451416016e-01,2.266791015863418579e-01,5.036394000053405762e-01,3.218706548213958740e-01,3.166930973529815674e-01,3.125960528850555420e-01,3.633086085319519043e-01,2.664435505867004395e-01,5.589413642883300781e-01,4.768029153347015381e-01,6.123515963554382324e-01,4.415013194084167480e-01,4.057814478874206543e-01,1.899520754814147949e-01,4.008882939815521240e-01,1.892296224832534790e-01,4.690135121345520020e-01,3.546902239322662354e-01
4.210544824600219727e-01,2.560278177261352539e-01,6.658526659011840820e-01,6.465719938278198242e-01,8.082972764968872070e-01,7.062008380889892578e-01,1.746077835559844971e-01,1.516787856817245483e-01,3.255770206451416016e-01,2.266791015863418579e-01,5.036394000053405762e-01,3.218706548213958740e-01,3.166930973529815674e-01,3.125960528850555420e-01,3.633086085319519043e-01,2.664435505867004395e-01,5.589413642883300781e-01,4.768029153347015381e-01,6.123515963554382324e-01,4.415013194084167480e-01,4.057814478874206543e-01,1.899520754814147949e-01,4.008882939815521240e-01,1.892296224832534790e-01,4.690135121345520020e-01,3.546902239322662354e-01,4.114457368850708008e-01,2.464944124221801758e-01
6.658526659011840820e-01,6.465719938278198242e-01,8.082972764968872070e-01,7.062008380889892578e-01,1.746077835559844971e-01,1.516787856817245483e-01,3.255770206451416016e-01,2.266791015863418579e-01,5.036394000053405762e-01,3.218706548213958740e-01,3.166930973529815674e-01,3.125960528850555420e-01,3.633086085319519043e-01,2.664435505867004395e-01,5.589413642883300781e-01,4.768029153347015381e-01,6.123515963554382324e-01,4.415013194084167480e-01,4.057814478874206543e-01,1.899520754814147949e-01,4.008882939815521240e-01,1.892296224832534790e-01,4.690135121345520020e-01,3.546902239322662354e-01,4.114457368850708008e-01,2.464944124221801758e-01,4.008367359638214111e-01,1.413883566856384277e-01
8.082972764968872070e-01,7.062008380889892578e-01,1.746077835559844971e-01,1.516787856817245483e-01,3.255770206451416016e-01,2.266791015863418579e-01,5.036394000053405762e-01,3.218706548213958740e-01,3.166930973529815674e-01,3.125960528850555420e-01,3.633086085319519043e-01,2.664435505867004395e-01,5.589413642883300781e-01,4.768029153347015381e-01,6.123515963554382324e-01,4.415013194084167480e-01,4.057814478874206543e-01,1.899520754814147949e-01,4.008882939815521240e-01,1.892296224832534790e-01,4.690135121345520020e-01,3.546902239322662354e-01,4.114457368850708008e-01,2.464944124221801758e-01,4.008367359638214111e-01,1.413883566856384277e-01,5.275269150733947754e-01,3.899214267730712891e-01
1.746077835559844971e-01,1.516787856817245483e-01,3.255770206451416016e-01,2.266791015863418579e-01,5.036394000053405762e-01,3.218706548213958740e-01,3.166930973529815674e-01,3.125960528850555420e-01,3.633086085319519043e-01,2.664435505867004395e-01,5.589413642883300781e-01,4.768029153347015381e-01,6.123515963554382324e-01,4.415013194084167480e-01,4.057814478874206543e-01,1.899520754814147949e-01,4.008882939815521240e-01,1.892296224832534790e-01,4.690135121345520020e-01,3.546902239322662354e-01,4.114457368850708008e-01,2.464944124221801758e-01,4.008367359638214111e-01,1.413883566856384277e-01,5.275269150733947754e-01,3.899214267730712891e-01,5.520859360694885254e-01,3.603563010692596436e-01
3.255770206451416016e-01,2.266791015863418579e-01,5.036394000053405762e-01,3.218706548213958740e-01,3.166930973529815674e-01,3.125960528850555420e-01,3.633086085319519043e-01,2.664435505867004395e-01,5.589413642883300781e-01,4.768029153347015381e-01,6.123515963554382324e-01,4.415013194084167480e-01,4.057814478874206543e-01,1.899520754814147949e-01,4.008882939815521240e-01,1.892296224832534790e-01,4.690135121345520020e-01,3.546902239322662354e-01,4.114457368850708008e-01,2.464944124221801758e-01,4.008367359638214111e-01,1.413883566856384277e-01,5.275269150733947754e-01,3.899214267730712891e-01,5.520859360694885254e-01,3.603563010692596436e-01,3.061541020870208740e-01,1.383161842823028564e-01
5.036394000053405762e-01,3.218706548213958740e-01,3.166930973529815674e-01,3.125960528850555420e-01,3.633086085319519043e-01,2.664435505867004395e-01,5.589413642883300781e-01,4.768029153347015381e-01,6.123515963554382324e-01,4.415013194084167480e-01,4.057814478874206543e-01,1.899520754814147949e-01,4.008882939815521240e-01,1.892296224832534790e-01,4.690135121345520020e-01,3.546902239322662354e-01,4.114457368850708008e-01,2.464944124221801758e-01,4.008367359638214111e-01,1.413883566856384277e-01,5.275269150733947754e-01,3.899214267730712891e-01,5.520859360694885254e-01,3.603563010692596436e-01,3.061541020870208740e-01,1.383161842823028564e-01,3.346969783306121826e-01,2.235445678234100342e-01
3.166930973529815674e-01,3.125960528850555420e-01,3.633086085319519043e-01,2.664435505867004395e-01,5.589413642883300781e-01,4.768029153347015381e-01,6.123515963554382324e-01,4.415013194084167480e-01,4.057814478874206543e-01,1.899520754814147949e-01,4.008882939815521240e-01,1.892296224832534790e-01,4.690135121345520020e-01,3.546902239322662354e-01,4.114457368850708008e-01,2.464944124221801758e-01,4.008367359638214111e-01,1.413883566856384277e-01,5.275269150733947754e-01,3.899214267730712891e-01,5.520859360694885254e-01,3.603563010692596436e-01,3.061541020870208740e-01,1.383161842823028564e-01,3.346969783306121826e-01,2.235445678234100342e-01,3.426507115364074707e-01,3.541837334632873535e-01
3.633086085319519043e-01,2.664435505867004395e-01,5.589413642883300781e-01,4.768029153347015381e-01,6.123515963554382324e-01,4.415013194084167480e-01,4.057814478874206543e-01,1.899520754814147949e-01,4.008882939815521240e-01,1.892296224832534790e-01,4.690135121345520020e-01,3.546902239322662354e-01,4.114457368850708008e-01,2.464944124221801758e-01,4.008367359638214111e-01,1.413883566856384277e-01,5.275269150733947754e-01,3.899214267730712891e-01,5.520859360694885254e-01,3.603563010692596436e-01,3.061541020870208740e-01,1.383161842823028564e-01,3.346969783306121826e-01,2.235445678234100342e-01,3.426507115364074707e-01,3.541837334632873535e-01,4.350816607475280762e-01,2.327788770198822021e-01
