TOTAL_CASH_CHANGE_1dt_day_1,TOTAL_CASH_CHANGE_1dt_day_2,TOTAL_CASH_CHANGE_1dt_day_3,TOTAL_CASH_CHANGE_1dt_day_4,TOTAL_CASH_CHANGE_1dt_day_5,TOTAL_CASH_CHANGE_1dt_day_6,TOTAL_CASH_CHANGE_1dt_day_7,TOTAL_CASH_CHANGE_1dt_day_8,TOTAL_CASH_CHANGE_1dt_day_9,TOTAL_CASH_CHANGE_1dt_day_10,TOTAL_CASH_CHANGE_1dt_day_11,TOTAL_CASH_CHANGE_1dt_day_12,TOTAL_CASH_CHANGE_1dt_day_13,TOTAL_CASH_CHANGE_1dt_day_14,TOTAL_CASH_OUT_1dt_day_1,TOTAL_CASH_OUT_1dt_day_2,TOTAL_CASH_OUT_1dt_day_3,TOTAL_CASH_OUT_1dt_day_4,TOTAL_CASH_OUT_1dt_day_5,TOTAL_CASH_OUT_1dt_day_6,TOTAL_CASH_OUT_1dt_day_7,TOTAL_CASH_OUT_1dt_day_8,TOTAL_CASH_OUT_1dt_day_9,TOTAL_CASH_OUT_1dt_day_10,TOTAL_CASH_OUT_1dt_day_11,TOTAL_CASH_OUT_1dt_day_12,TOTAL_CASH_OUT_1dt_day_13,TOTAL_CASH_OUT_1dt_day_14
8.484553694725036621e-01,5.652730464935302734e-01,7.517473101615905762e-01,2.057288736104965210e-01,7.003073692321777344e-01,2.047238647937774658e-01,7.930477261543273926e-01,2.968625128269195557e-01,7.452511787414550781e-01,0.000000000000000000e+00,7.742168307304382324e-01,2.572397291660308838e-01,7.997350692749023438e-01,5.270323157310485840e-01,7.389226555824279785e-01,1.796416491270065308e-01,8.902618288993835449e-01,7.078487873077392578e-01,6.665861606597900391e-01,1.106139495968818665e-01,7.207660079002380371e-01,8.717750757932662964e-02,7.452511787414550781e-01,0.000000000000000000e+00,7.036848068237304688e-01,2.672605514526367188e-01,8.464628458023071289e-01,4.120908379554748535e-01
7.517473101615905762e-01,2.057288736104965210e-01,7.003073692321777344e-01,2.047238647937774658e-01,7.930477261543273926e-01,2.968625128269195557e-01,7.452511787414550781e-01,0.000000000000000000e+00,7.742168307304382324e-01,2.572397291660308838e-01,7.997350692749023438e-01,5.270323157310485840e-01,7.389226555824279785e-01,1.796416491270065308e-01,8.902618288993835449e-01,7.078487873077392578e-01,6.665861606597900391e-01,1.106139495968818665e-01,7.207660079002380371e-01,8.717750757932662964e-02,7.452511787414550781e-01,0.000000000000000000e+00,7.036848068237304688e-01,2.672605514526367188e-01,8.464628458023071289e-01,4.120908379554748535e-01,8.116385340690612793e-01,3.498585820198059082e-01
7.003073692321777344e-01,2.047238647937774658e-01,7.930477261543273926e-01,2.968625128269195557e-01,7.452511787414550781e-01,0.000000000000000000e+00,7.742168307304382324e-01,2.572397291660308838e-01,7.997350692749023438e-01,5.270323157310485840e-01,7.389226555824279785e-01,1.796416491270065308e-01,8.902618288993835449e-01,7.078487873077392578e-01,6.665861606597900391e-01,1.106139495968818665e-01,7.207660079002380371e-01,8.717750757932662964e-02,7.452511787414550781e-01,0.000000000000000000e+00,7.036848068237304688e-01,2.672605514526367188e-01,8.464628458023071289e-01,4.120908379554748535e-01,8.116385340690612793e-01,3.498585820198059082e-01,7.641385197639465332e-01,2.987550497055053711e-01
7.930477261543273926e-01,2.968625128269195557e-01,7.452511787414550781e-01,0.000000000000000000e+00,7.742168307304382324e-01,2.572397291660308838e-01,7.997350692749023438e-01,5.270323157310485840e-01,7.389226555824279785e-01,1.796416491270065308e-01,8.902618288993835449e-01,7.078487873077392578e-01,6.665861606597900391e-01,1.106139495968818665e-01,7.207660079002380371e-01,8.717750757932662964e-02,7.452511787414550781e-01,0.000000000000000000e+00,7.036848068237304688e-01,2.672605514526367188e-01,8.464628458023071289e-01,4.120908379554748535e-01,8.116385340690612793e-01,3.498585820198059082e-01,7.641385197639465332e-01,2.987550497055053711e-01,7.354113459587097168e-01,1.765643209218978882e-01
7.452511787414550781e-01,0.000000000000000000e+00,7.742168307304382324e-01,2.572397291660308838e-01,7.997350692749023438e-01,5.270323157310485840e-01,7.389226555824279785e-01,1.796416491270065308e-01,8.902618288993835449e-01,7.078487873077392578e-01,6.665861606597900391e-01,1.106139495968818665e-01,7.207660079002380371e-01,8.717750757932662964e-02,7.452511787414550781e-01,0.000000000000000000e+00,7.036848068237304688e-01,2.672605514526367188e-01,8.464628458023071289e-01,4.120908379554748535e-01,8.116385340690612793e-01,3.498585820198059082e-01,7.641385197639465332e-01,2.987550497055053711e-01,7.354113459587097168e-01,1.765643209218978882e-01,7.305226922035217285e-01,2.687470801174640656e-02
7.742168307304382324e-01,2.572397291660308838e-01,7.997350692749023438e-01,5.270323157310485840e-01,7.389226555824279785e-01,1.796416491270065308e-01,8.902618288993835449e-01,7.078487873077392578e-01,6.665861606597900391e-01,1.106139495968818665e-01,7.207660079002380371e-01,8.717750757932662964e-02,7.452511787414550781e-01,0.000000000000000000e+00,7.036848068237304688e-01,2.672605514526367188e-01,8.464628458023071289e-01,4.120908379554748535e-01,8.116385340690612793e-01,3.498585820198059082e-01,7.641385197639465332e-01,2.987550497055053711e-01,7.354113459587097168e-01,1.765643209218978882e-01,7.305226922035217285e-01,2.687470801174640656e-02,7.452511787414550781e-01,0.000000000000000000e+00
7.997350692749023438e-01,5.270323157310485840e-01,7.389226555824279785e-01,1.796416491270065308e-01,8.902618288993835449e-01,7.078487873077392578e-01,6.665861606597900391e-01,1.106139495968818665e-01,7.207660079002380371e-01,8.717750757932662964e-02,7.452511787414550781e-01,0.000000000000000000e+00,7.036848068237304688e-01,2.672605514526367188e-01,8.464628458023071289e-01,4.120908379554748535e-01,8.116385340690612793e-01,3.498585820198059082e-01,7.641385197639465332e-01,2.987550497055053711e-01,7.354113459587097168e-01,1.765643209218978882e-01,7.305226922035217285e-01,2.687470801174640656e-02,7.452511787414550781e-01,0.000000000000000000e+00,7.736297845840454102e-01,2.708084285259246826e-01
7.389226555824279785e-01,1.796416491270065308e-01,8.902618288993835449e-01,7.078487873077392578e-01,6.665861606597900391e-01,1.106139495968818665e-01,7.207660079002380371e-01,8.717750757932662964e-02,7.452511787414550781e-01,0.000000000000000000e+00,7.036848068237304688e-01,2.672605514526367188e-01,8.464628458023071289e-01,4.120908379554748535e-01,8.116385340690612793e-01,3.498585820198059082e-01,7.641385197639465332e-01,2.987550497055053711e-01,7.354113459587097168e-01,1.765643209218978882e-01,7.305226922035217285e-01,2.687470801174640656e-02,7.452511787414550781e-01,0.000000000000000000e+00,7.736297845840454102e-01,2.708084285259246826e-01,7.997919321060180664e-01,3.902841210365295410e-01
8.902618288993835449e-01,7.078487873077392578e-01,6.665861606597900391e-01,1.106139495968818665e-01,7.207660079002380371e-01,8.717750757932662964e-02,7.452511787414550781e-01,0.000000000000000000e+00,7.036848068237304688e-01,2.672605514526367188e-01,8.464628458023071289e-01,4.120908379554748535e-01,8.116385340690612793e-01,3.498585820198059082e-01,7.641385197639465332e-01,2.987550497055053711e-01,7.354113459587097168e-01,1.765643209218978882e-01,7.305226922035217285e-01,2.687470801174640656e-02,7.452511787414550781e-01,0.000000000000000000e+00,7.736297845840454102e-01,2.708084285259246826e-01,7.997919321060180664e-01,3.902841210365295410e-01,7.363643050193786621e-01,9.551881998777389526e-02
6.665861606597900391e-01,1.106139495968818665e-01,7.207660079002380371e-01,8.717750757932662964e-02,7.452511787414550781e-01,0.000000000000000000e+00,7.036848068237304688e-01,2.672605514526367188e-01,8.464628458023071289e-01,4.120908379554748535e-01,8.116385340690612793e-01,3.498585820198059082e-01,7.641385197639465332e-01,2.987550497055053711e-01,7.354113459587097168e-01,1.765643209218978882e-01,7.305226922035217285e-01,2.687470801174640656e-02,7.452511787414550781e-01,0.000000000000000000e+00,7.736297845840454102e-01,2.708084285259246826e-01,7.997919321060180664e-01,3.902841210365295410e-01,7.363643050193786621e-01,9.551881998777389526e-02,7.339887022972106934e-01,7.802166044712066650e-02
7.207660079002380371e-01,8.717750757932662964e-02,7.452511787414550781e-01,0.000000000000000000e+00,7.036848068237304688e-01,2.672605514526367188e-01,8.464628458023071289e-01,4.120908379554748535e-01,8.116385340690612793e-01,3.498585820198059082e-01,7.641385197639465332e-01,2.987550497055053711e-01,7.354113459587097168e-01,1.765643209218978882e-01,7.305226922035217285e-01,2.687470801174640656e-02,7.452511787414550781e-01,0.000000000000000000e+00,7.736297845840454102e-01,2.708084285259246826e-01,7.997919321060180664e-01,3.902841210365295410e-01,7.363643050193786621e-01,9.551881998777389526e-02,7.339887022972106934e-01,7.802166044712066650e-02,6.758751273155212402e-01,1.088096797466278076e-01
