TOTAL_CASH_CHANGE_1dt_day_1,TOTAL_CASH_CHANGE_1dt_day_2,TOTAL_CASH_CHANGE_1dt_day_3,TOTAL_CASH_CHANGE_1dt_day_4,TOTAL_CASH_CHANGE_1dt_day_5,TOTAL_CASH_CHANGE_1dt_day_6,TOTAL_CASH_CHANGE_1dt_day_7,TOTAL_CASH_CHANGE_1dt_day_8,TOTAL_CASH_CHANGE_1dt_day_9,TOTAL_CASH_CHANGE_1dt_day_10,TOTAL_CASH_CHANGE_1dt_day_11,TOTAL_CASH_CHANGE_1dt_day_12,TOTAL_CASH_CHANGE_1dt_day_13,TOTAL_CASH_CHANGE_1dt_day_14,TOTAL_CASH_OUT_1dt_day_1,TOTAL_CASH_OUT_1dt_day_2,TOTAL_CASH_OUT_1dt_day_3,TOTAL_CASH_OUT_1dt_day_4,TOTAL_CASH_OUT_1dt_day_5,TOTAL_CASH_OUT_1dt_day_6,TOTAL_CASH_OUT_1dt_day_7,TOTAL_CASH_OUT_1dt_day_8,TOTAL_CASH_OUT_1dt_day_9,TOTAL_CASH_OUT_1dt_day_10,TOTAL_CASH_OUT_1dt_day_11,TOTAL_CASH_OUT_1dt_day_12,TOTAL_CASH_OUT_1dt_day_13,TOTAL_CASH_OUT_1dt_day_14
6.580213308334350586e-01,4.548585116863250732e-01,7.142958045005798340e-01,9.096995592117309570e-01,6.985880136489868164e-01,7.204343676567077637e-01,5.484213829040527344e-01,5.484172701835632324e-01,6.104580760002136230e-01,2.929582595825195312e-01,6.387559175491333008e-01,4.057533740997314453e-01,5.537279248237609863e-01,3.264149427413940430e-01,7.585419416427612305e-01,4.286584854125976562e-01,5.388380289077758789e-01,5.920885801315307617e-01,7.002131938934326172e-01,4.753550887107849121e-01,6.028355956077575684e-01,4.414937794208526611e-01,6.978997588157653809e-01,4.985745251178741455e-01,3.739185035228729248e-01,3.563281297683715820e-01,6.530727744102478027e-01,6.188015341758728027e-01
7.142958045005798340e-01,9.096995592117309570e-01,6.985880136489868164e-01,7.204343676567077637e-01,5.484213829040527344e-01,5.484172701835632324e-01,6.104580760002136230e-01,2.929582595825195312e-01,6.387559175491333008e-01,4.057533740997314453e-01,5.537279248237609863e-01,3.264149427413940430e-01,7.585419416427612305e-01,4.286584854125976562e-01,5.388380289077758789e-01,5.920885801315307617e-01,7.002131938934326172e-01,4.753550887107849121e-01,6.028355956077575684e-01,4.414937794208526611e-01,6.978997588157653809e-01,4.985745251178741455e-01,3.739185035228729248e-01,3.563281297683715820e-01,6.530727744102478027e-01,6.188015341758728027e-01,6.198792457580566406e-01,6.993546485900878906e-01
6.985880136489868164e-01,7.204343676567077637e-01,5.484213829040527344e-01,5.484172701835632324e-01,6.104580760002136230e-01,2.929582595825195312e-01,6.387559175491333008e-01,4.057533740997314453e-01,5.537279248237609863e-01,3.264149427413940430e-01,7.585419416427612305e-01,4.286584854125976562e-01,5.388380289077758789e-01,5.920885801315307617e-01,7.002131938934326172e-01,4.753550887107849121e-01,6.028355956077575684e-01,4.414937794208526611e-01,6.978997588157653809e-01,4.985745251178741455e-01,3.739185035228729248e-01,3.563281297683715820e-01,6.530727744102478027e-01,6.188015341758728027e-01,6.198792457580566406e-01,6.993546485900878906e-01,7.055421471595764160e-01,5.041686296463012695e-01
5.484213829040527344e-01,5.484172701835632324e-01,6.104580760002136230e-01,2.929582595825195312e-01,6.387559175491333008e-01,4.057533740997314453e-01,5.537279248237609863e-01,3.264149427413940430e-01,7.585419416427612305e-01,4.286584854125976562e-01,5.388380289077758789e-01,5.920885801315307617e-01,7.002131938934326172e-01,4.753550887107849121e-01,6.028355956077575684e-01,4.414937794208526611e-01,6.978997588157653809e-01,4.985745251178741455e-01,3.739185035228729248e-01,3.563281297683715820e-01,6.530727744102478027e-01,6.188015341758728027e-01,6.198792457580566406e-01,6.993546485900878906e-01,7.055421471595764160e-01,5.041686296463012695e-01,6.576868295669555664e-01,5.809935927391052246e-01
6.104580760002136230e-01,2.929582595825195312e-01,6.387559175491333008e-01,4.057533740997314453e-01,5.537279248237609863e-01,3.264149427413940430e-01,7.585419416427612305e-01,4.286584854125976562e-01,5.388380289077758789e-01,5.920885801315307617e-01,7.002131938934326172e-01,4.753550887107849121e-01,6.028355956077575684e-01,4.414937794208526611e-01,6.978997588157653809e-01,4.985745251178741455e-01,3.739185035228729248e-01,3.563281297683715820e-01,6.530727744102478027e-01,6.188015341758728027e-01,6.198792457580566406e-01,6.993546485900878906e-01,7.055421471595764160e-01,5.041686296463012695e-01,6.576868295669555664e-01,5.809935927391052246e-01,5.186500549316406250e-01,3.714741766452789307e-01
6.387559175491333008e-01,4.057533740997314453e-01,5.537279248237609863e-01,3.264149427413940430e-01,7.585419416427612305e-01,4.286584854125976562e-01,5.388380289077758789e-01,5.920885801315307617e-01,7.002131938934326172e-01,4.753550887107849121e-01,6.028355956077575684e-01,4.414937794208526611e-01,6.978997588157653809e-01,4.985745251178741455e-01,3.739185035228729248e-01,3.563281297683715820e-01,6.530727744102478027e-01,6.188015341758728027e-01,6.198792457580566406e-01,6.993546485900878906e-01,7.055421471595764160e-01,5.041686296463012695e-01,6.576868295669555664e-01,5.809935927391052246e-01,5.186500549316406250e-01,3.714741766452789307e-01,4.239097237586975098e-01,4.362862408161163330e-01
5.537279248237609863e-01,3.264149427413940430e-01,7.585419416427612305e-01,4.286584854125976562e-01,5.388380289077758789e-01,5.920885801315307617e-01,7.002131938934326172e-01,4.753550887107849121e-01,6.028355956077575684e-01,4.414937794208526611e-01,6.978997588157653809e-01,4.985745251178741455e-01,3.739185035228729248e-01,3.563281297683715820e-01,6.530727744102478027e-01,6.188015341758728027e-01,6.198792457580566406e-01,6.993546485900878906e-01,7.055421471595764160e-01,5.041686296463012695e-01,6.576868295669555664e-01,5.809935927391052246e-01,5.186500549316406250e-01,3.714741766452789307e-01,4.239097237586975098e-01,4.362862408161163330e-01,6.684290170669555664e-01,7.203291654586791992e-01
7.585419416427612305e-01,4.286584854125976562e-01,5.388380289077758789e-01,5.920885801315307617e-01,7.002131938934326172e-01,4.753550887107849121e-01,6.028355956077575684e-01,4.414937794208526611e-01,6.978997588157653809e-01,4.985745251178741455e-01,3.739185035228729248e-01,3.563281297683715820e-01,6.530727744102478027e-01,6.188015341758728027e-01,6.198792457580566406e-01,6.993546485900878906e-01,7.055421471595764160e-01,5.041686296463012695e-01,6.576868295669555664e-01,5.809935927391052246e-01,5.186500549316406250e-01,3.714741766452789307e-01,4.239097237586975098e-01,4.362862408161163330e-01,6.684290170669555664e-01,7.203291654586791992e-01,5.870300531387329102e-01,5.449337363243103027e-01
5.388380289077758789e-01,5.920885801315307617e-01,7.002131938934326172e-01,4.753550887107849121e-01,6.028355956077575684e-01,4.414937794208526611e-01,6.978997588157653809e-01,4.985745251178741455e-01,3.739185035228729248e-01,3.563281297683715820e-01,6.530727744102478027e-01,6.188015341758728027e-01,6.198792457580566406e-01,6.993546485900878906e-01,7.055421471595764160e-01,5.041686296463012695e-01,6.576868295669555664e-01,5.809935927391052246e-01,5.186500549316406250e-01,3.714741766452789307e-01,4.239097237586975098e-01,4.362862408161163330e-01,6.684290170669555664e-01,7.203291654586791992e-01,5.870300531387329102e-01,5.449337363243103027e-01,8.116536140441894531e-01,8.548573255538940430e-01
7.002131938934326172e-01,4.753550887107849121e-01,6.028355956077575684e-01,4.414937794208526611e-01,6.978997588157653809e-01,4.985745251178741455e-01,3.739185035228729248e-01,3.563281297683715820e-01,6.530727744102478027e-01,6.188015341758728027e-01,6.198792457580566406e-01,6.993546485900878906e-01,7.055421471595764160e-01,5.041686296463012695e-01,6.576868295669555664e-01,5.809935927391052246e-01,5.186500549316406250e-01,3.714741766452789307e-01,4.239097237586975098e-01,4.362862408161163330e-01,6.684290170669555664e-01,7.203291654586791992e-01,5.870300531387329102e-01,5.449337363243103027e-01,8.116536140441894531e-01,8.548573255538940430e-01,6.585099697113037109e-01,5.009483098983764648e-01
