TOTAL_CASH_CHANGE_1dt_day_1,TOTAL_CASH_CHANGE_1dt_day_2,TOTAL_CASH_CHANGE_1dt_day_3,TOTAL_CASH_CHANGE_1dt_day_4,TOTAL_CASH_CHANGE_1dt_day_5,TOTAL_CASH_CHANGE_1dt_day_6,TOTAL_CASH_CHANGE_1dt_day_7,TOTAL_CASH_CHANGE_1dt_day_8,TOTAL_CASH_CHANGE_1dt_day_9,TOTAL_CASH_CHANGE_1dt_day_10,TOTAL_CASH_CHANGE_1dt_day_11,TOTAL_CASH_CHANGE_1dt_day_12,TOTAL_CASH_CHANGE_1dt_day_13,TOTAL_CASH_CHANGE_1dt_day_14,TOTAL_CASH_OUT_1dt_day_1,TOTAL_CASH_OUT_1dt_day_2,TOTAL_CASH_OUT_1dt_day_3,TOTAL_CASH_OUT_1dt_day_4,TOTAL_CASH_OUT_1dt_day_5,TOTAL_CASH_OUT_1dt_day_6,TOTAL_CASH_OUT_1dt_day_7,TOTAL_CASH_OUT_1dt_day_8,TOTAL_CASH_OUT_1dt_day_9,TOTAL_CASH_OUT_1dt_day_10,TOTAL_CASH_OUT_1dt_day_11,TOTAL_CASH_OUT_1dt_day_12,TOTAL_CASH_OUT_1dt_day_13,TOTAL_CASH_OUT_1dt_day_14
7.181837558746337891e-01,1.400641649961471558e-01,7.134216427803039551e-01,9.334323555231094360e-02,7.211871147155761719e-01,8.399637937545776367e-01,8.782059550285339355e-01,1.467222697101533413e-03,8.780716657638549805e-01,7.631878834217786789e-04,4.082102477550506592e-01,8.023775219917297363e-01,7.162439823150634766e-01,3.623287677764892578e-01,7.802370786666870117e-01,2.149379849433898926e-01,9.016068577766418457e-01,3.926956951618194580e-01,9.489009976387023926e-01,5.056583285331726074e-01,8.781954050064086914e-01,1.411926234140992165e-03,8.783437609672546387e-01,2.189964521676301956e-03,8.828315734863281250e-01,2.903212010860443115e-01,9.190171360969543457e-01,2.977458834648132324e-01
7.134216427803039551e-01,9.334323555231094360e-02,7.211871147155761719e-01,8.399637937545776367e-01,8.782059550285339355e-01,1.467222697101533413e-03,8.780716657638549805e-01,7.631878834217786789e-04,4.082102477550506592e-01,8.023775219917297363e-01,7.162439823150634766e-01,3.623287677764892578e-01,7.802370786666870117e-01,2.149379849433898926e-01,9.016068577766418457e-01,3.926956951618194580e-01,9.489009976387023926e-01,5.056583285331726074e-01,8.781954050064086914e-01,1.411926234140992165e-03,8.783437609672546387e-01,2.189964521676301956e-03,8.828315734863281250e-01,2.903212010860443115e-01,9.190171360969543457e-01,2.977458834648132324e-01,8.898326158523559570e-01,1.792500466108322144e-01
7.211871147155761719e-01,8.399637937545776367e-01,8.782059550285339355e-01,1.467222697101533413e-03,8.780716657638549805e-01,7.631878834217786789e-04,4.082102477550506592e-01,8.023775219917297363e-01,7.162439823150634766e-01,3.623287677764892578e-01,7.802370786666870117e-01,2.149379849433898926e-01,9.016068577766418457e-01,3.926956951618194580e-01,9.489009976387023926e-01,5.056583285331726074e-01,8.781954050064086914e-01,1.411926234140992165e-03,8.783437609672546387e-01,2.189964521676301956e-03,8.828315734863281250e-01,2.903212010860443115e-01,9.190171360969543457e-01,2.977458834648132324e-01,8.898326158523559570e-01,1.792500466108322144e-01,9.172738790512084961e-01,2.490768879652023315e-01
8.782059550285339355e-01,1.467222697101533413e-03,8.780716657638549805e-01,7.631878834217786789e-04,4.082102477550506592e-01,8.023775219917297363e-01,7.162439823150634766e-01,3.623287677764892578e-01,7.802370786666870117e-01,2.149379849433898926e-01,9.016068577766418457e-01,3.926956951618194580e-01,9.489009976387023926e-01,5.056583285331726074e-01,8.781954050064086914e-01,1.411926234140992165e-03,8.783437609672546387e-01,2.189964521676301956e-03,8.828315734863281250e-01,2.903212010860443115e-01,9.190171360969543457e-01,2.977458834648132324e-01,8.898326158523559570e-01,1.792500466108322144e-01,9.172738790512084961e-01,2.490768879652023315e-01,8.508433103561401367e-01,1.424601823091506958e-01
8.780716657638549805e-01,7.631878834217786789e-04,4.082102477550506592e-01,8.023775219917297363e-01,7.162439823150634766e-01,3.623287677764892578e-01,7.802370786666870117e-01,2.149379849433898926e-01,9.016068577766418457e-01,3.926956951618194580e-01,9.489009976387023926e-01,5.056583285331726074e-01,8.781954050064086914e-01,1.411926234140992165e-03,8.783437609672546387e-01,2.189964521676301956e-03,8.828315734863281250e-01,2.903212010860443115e-01,9.190171360969543457e-01,2.977458834648132324e-01,8.898326158523559570e-01,1.792500466108322144e-01,9.172738790512084961e-01,2.490768879652023315e-01,8.508433103561401367e-01,1.424601823091506958e-01,8.784440159797668457e-01,2.715846523642539978e-03
4.082102477550506592e-01,8.023775219917297363e-01,7.162439823150634766e-01,3.623287677764892578e-01,7.802370786666870117e-01,2.149379849433898926e-01,9.016068577766418457e-01,3.926956951618194580e-01,9.489009976387023926e-01,5.056583285331726074e-01,8.781954050064086914e-01,1.411926234140992165e-03,8.783437609672546387e-01,2.189964521676301956e-03,8.828315734863281250e-01,2.903212010860443115e-01,9.190171360969543457e-01,2.977458834648132324e-01,8.898326158523559570e-01,1.792500466108322144e-01,9.172738790512084961e-01,2.490768879652023315e-01,8.508433103561401367e-01,1.424601823091506958e-01,8.784440159797668457e-01,2.715846523642539978e-03,8.782059550285339355e-01,1.467316877096891403e-03
7.162439823150634766e-01,3.623287677764892578e-01,7.802370786666870117e-01,2.149379849433898926e-01,9.016068577766418457e-01,3.926956951618194580e-01,9.489009976387023926e-01,5.056583285331726074e-01,8.781954050064086914e-01,1.411926234140992165e-03,8.783437609672546387e-01,2.189964521676301956e-03,8.828315734863281250e-01,2.903212010860443115e-01,9.190171360969543457e-01,2.977458834648132324e-01,8.898326158523559570e-01,1.792500466108322144e-01,9.172738790512084961e-01,2.490768879652023315e-01,8.508433103561401367e-01,1.424601823091506958e-01,8.784440159797668457e-01,2.715846523642539978e-03,8.782059550285339355e-01,1.467316877096891403e-03,7.693766355514526367e-01,1.821047961711883545e-01
7.802370786666870117e-01,2.149379849433898926e-01,9.016068577766418457e-01,3.926956951618194580e-01,9.489009976387023926e-01,5.056583285331726074e-01,8.781954050064086914e-01,1.411926234140992165e-03,8.783437609672546387e-01,2.189964521676301956e-03,8.828315734863281250e-01,2.903212010860443115e-01,9.190171360969543457e-01,2.977458834648132324e-01,8.898326158523559570e-01,1.792500466108322144e-01,9.172738790512084961e-01,2.490768879652023315e-01,8.508433103561401367e-01,1.424601823091506958e-01,8.784440159797668457e-01,2.715846523642539978e-03,8.782059550285339355e-01,1.467316877096891403e-03,7.693766355514526367e-01,1.821047961711883545e-01,8.476714491844177246e-01,3.145740628242492676e-01
9.016068577766418457e-01,3.926956951618194580e-01,9.489009976387023926e-01,5.056583285331726074e-01,8.781954050064086914e-01,1.411926234140992165e-03,8.783437609672546387e-01,2.189964521676301956e-03,8.828315734863281250e-01,2.903212010860443115e-01,9.190171360969543457e-01,2.977458834648132324e-01,8.898326158523559570e-01,1.792500466108322144e-01,9.172738790512084961e-01,2.490768879652023315e-01,8.508433103561401367e-01,1.424601823091506958e-01,8.784440159797668457e-01,2.715846523642539978e-03,8.782059550285339355e-01,1.467316877096891403e-03,7.693766355514526367e-01,1.821047961711883545e-01,8.476714491844177246e-01,3.145740628242492676e-01,8.848408460617065430e-01,1.410232633352279663e-01
9.489009976387023926e-01,5.056583285331726074e-01,8.781954050064086914e-01,1.411926234140992165e-03,8.783437609672546387e-01,2.189964521676301956e-03,8.828315734863281250e-01,2.903212010860443115e-01,9.190171360969543457e-01,2.977458834648132324e-01,8.898326158523559570e-01,1.792500466108322144e-01,9.172738790512084961e-01,2.490768879652023315e-01,8.508433103561401367e-01,1.424601823091506958e-01,8.784440159797668457e-01,2.715846523642539978e-03,8.782059550285339355e-01,1.467316877096891403e-03,7.693766355514526367e-01,1.821047961711883545e-01,8.476714491844177246e-01,3.145740628242492676e-01,8.848408460617065430e-01,1.410232633352279663e-01,8.740095496177673340e-01,1.171476393938064575e-01
